# Conversion factors between GWP100 and actual concentrations in kilotons,
# From AR4 working group 1 report, found in Table TS.2 of the technical summary in
# https://www.ipcc.ch/site/assets/uploads/2018/05/ar4_wg1_full_report-1.pdf
Gas;SAR (100 years);GWP100
CO2;1;1
CH4;21;25
N2O;310;298
CCl3F;3800;4750
CCl2F2;8100;10900
CClF3;;14400
CCl2FCClF2;4800;6130
CClF2CClF2;;10000
CClF2CF3;;7370
CBrF3;5400;7140
CBrClF2;;1890
CBrF2CBrF2;;1640
CCl4;;2700
CH3Br;;5
CH3CCl3;;146
HCFC22;1500;1810
HCFC123;90;77
HCFC124;470;609
HCFC141b;;725
HCFC142b;1800;2310
HCFC225ca;;122
HCFC225cb;;595
HFC23;11700;14800
HFC32;650;675
HFC125;2800;3500
HFC134a;1300;1430
HFC143a;3800;4470
HFC152a;140;124
HFC227ea;2900;3220
HFC236fa;6300;9810
HFC245fa;;1030
HFC365mfc;;794
SF6;23900;22800
NF3;;17200
CF4;6500;7390
C2F6;9200;12200
C3F8;7000;8830
cC4F8;8700;10300
C4F10;7000;8860
C5F12;;9160
C6F14;7400;9300
C10F18;;7500
